mls_id,status,property_type,address,city,zip,neighborhood,latitude,longitude,list_date,list_price,close_date,sold_price,bedrooms,bathrooms_full,bathrooms_half,sqft_living,lot_size_sqft,year_built,hoa_monthly,days_on_market,parking_spaces,pool,arv_estimate,reno_cost_estimate,hold_months,taxes_annual,mls_region,price_per_sqft,max_offer_70rule
A1161016,Closed,Condo,932 NW 32nd Rd #1207,Miami,33145,Shenandoah,25.760179,-80.183776,2025-03-25,359000,2025-05-27,374000.0,1,2,0,768,,1983,559,43,2,Yes,,12060,0,4675,MIAMI,486.98,249740
A1161017,Active,Townhouse,2542 NW 22nd Pl #501,Miami,33135,Little Havana,25.871208,-80.216347,2025-02-03,743000,,,3,3,1,1852,,2011,334,8,1,Yes,861000.0,44535,4,9288,MIAMI,401.19,558165
A1161018,Active,Condo,2632 NE 7th Rd,Miami,33132,Downtown,25.861462,-80.259043,2025-05-02,759000,,,2,1,0,965,,1953,823,50,0,Yes,947000.0,13247,8,9488,MIAMI,786.53,649653
A1161019,Closed,Single Family,3744 NE 36th Ter #1207,Miami,33133,Coconut Grove,25.859547,-80.191211,2025-08-21,1355000,2025-09-30,1405000.0,4,3,0,2458,6185.0,1960,0,23,2,Yes,,26943,0,17562,MIAMI,571.6,956557
A1161020,Closed,Condo,5525 NW 4th Ter,Miami,33145,Coral Way,25.828723,-80.193451,2025-05-01,514000,2025-08-01,533000.0,1,2,0,674,,1975,1125,75,1,Yes,,4867,0,6662,MIAMI,790.8,368233
A1161021,Closed,Townhouse,827 SE 1st Pl #501,Miami,33132,Downtown,25.863921,-80.291488,2025-06-11,934000,2025-07-22,930000.0,3,2,1,1311,,2017,505,24,2,No,,11112,0,11625,MIAMI,709.38,639888
A1161022,Closed,Condo,9183 NE 8th Ct #2301,Miami,33144,Flagami,25.772189,-80.215419,2025-06-10,618000,2025-08-16,614000.0,2,3,0,1091,,1978,521,49,1,Yes,,7535,0,7675,MIAMI,562.79,422265
A1161023,Closed,Condo,3601 SE 7th Dr,Miami,33135,West Flagler,25.794398,-80.253676,2025-03-26,780000,2025-06-14,773000.0,2,1,0,1232,,1976,758,65,1,Yes,,18179,0,9662,MIAMI,627.44,522921
A1161024,Active,Townhouse,7561 SE 62nd Ave #2301,Miami,33137,Edgewater,25.817804,-80.204727,2025-02-12,1429000,,,3,1,0,2038,,1943,584,16,1,Yes,1635000.0,110787,7,17862,MIAMI,701.18,1033713
A1161025,Active,Condo,2088 SE 5th Rd #3205,Miami,33135,Little Havana,25.794328,-80.236389,2025-03-18,858000,,,2,1,1,1321,,1968,1154,52,0,Yes,1023000.0,21109,8,10725,MIAMI,649.51,694991
A1161026,Closed,Townhouse,4019 SW 36th St #1207,Miami,33150,Little River,25.84253,-80.241805,2025-04-08,819000,2025-06-01,849000.0,3,1,1,1827,,1997,617,41,2,Yes,,36200,0,10612,MIAMI,464.7,558100
A1161027,Active,Townhouse,1120 NE 32nd Ct #901,Miami,33125,Grapeland Heights,25.772941,-80.250111,2025-02-17,1171000,,,2,2,0,2114,,1967,476,27,1,No,1330000.0,76393,7,14638,MIAMI,553.93,854607
A1161028,Closed,Single Family,575 SE 17th Dr #2301,Miami,33142,Liberty City,25.755107,-80.254625,2025-08-11,631000,2025-10-08,626000.0,4,2,1,1729,7432.0,2008,0,38,2,No,,35025,0,7825,MIAMI,362.06,403175
A1161029,Closed,Multi-Family,5463 NE 36th Ter #1803,Miami,33135,Little Havana,25.749077,-80.280977,2025-05-21,919000,2025-07-06,966000.0,3,2,0,2674,4687.0,2022,0,27,4,No,,33368,0,12075,MIAMI,361.26,642832
A1161030,Closed,Multi-Family,759 NW 10th Ave,Miami,33145,Shenandoah,25.824023,-80.202815,2025-02-14,1437000,2025-04-21,1412000.0,4,1,1,2940,4158.0,2009,0,54,3,No,,21490,0,17650,MIAMI,480.27,966910
A1161031,Closed,Condo,1976 NE 14th St #901,Miami,33135,Little Havana,25.816943,-80.17544,2025-08-16,565000,2025-10-22,559000.0,2,1,1,1134,,1972,1135,57,0,Yes,,11155,0,6988,MIAMI,492.95,380145
A1161032,Active,Townhouse,2083 NW 22nd Pl #2301,Miami,33142,Liberty City,25.856047,-80.229938,2025-07-29,861000,,,2,3,0,1893,,1953,392,50,2,Yes,936000.0,94998,6,10762,MIAMI,454.83,560202
A1161033,Closed,Single Family,4525 SE 36th Ct #901,Miami,33168,Pinewood,25.789678,-80.209931,2025-07-13,914000,2025-09-28,959000.0,4,2,0,2276,7551.0,1986,0,68,2,No,,48206,0,11988,MIAMI,421.35,623094
A1161034,Active,Condo,4332 SW 12th Pl #1207,Miami,33137,Edgewater,25.749094,-80.288182,2025-02-08,627000,,,2,3,1,935,,1983,911,32,1,Yes,712000.0,20006,6,7838,MIAMI,670.59,478394
A1161035,Closed,Condo,3730 SE 10th Ter #901,Miami,33137,Edgewater,25.846869,-80.306042,2025-08-02,640000,2025-11-01,667000.0,2,1,1,897,,2022,1187,72,1,Yes,,27647,0,8338,MIAMI,743.59,439253
A1161036,Active,Townhouse,3133 NE 8th Dr #3205,Miami,33127,Buena Vista,25.770488,-80.208568,2025-04-01,1031000,,,3,2,0,1963,,1972,481,8,2,No,1128000.0,60599,5,12888,MIAMI,525.22,729001
A1161037,Active,Townhouse,2168 SE 4th Rd,Miami,33127,Wynwood Norte,25.875887,-80.236996,2025-03-05,1039000,,,3,2,0,2052,,2008,299,18,2,No,1161000.0,32818,4,12988,MIAMI,506.34,779882
A1161038,Closed,Multi-Family,978 NE 5th Rd #901,Miami,33138,Miami Shores,25.798679,-80.233447,2025-08-30,988000,2025-10-04,1000000.0,3,1,0,2302,7913.0,1954,0,18,3,No,,60060,0,12500,MIAMI,434.4,639940
A1161039,Closed,Single Family,5103 NW 79th Dr,Miami,33145,Coral Way,25.857627,-80.171495,2025-05-27,626000,2025-08-15,624000.0,3,3,0,1192,8280.0,1988,0,66,3,Yes,,40711,0,7800,MIAMI,523.49,396089
A1161040,Closed,Condo,634 NE 14th Dr #1207,Miami,33129,The Roads,25.830299,-80.249513,2025-02-01,452000,2025-04-23,447000.0,1,1,0,920,,1960,1126,62,0,Yes,,5618,0,5588,MIAMI,485.87,307282
A1161041,Closed,Multi-Family,1269 NW 7th Rd #1207,Miami,33137,Edgewater,25.865346,-80.196005,2025-06-20,1398000,2025-08-06,1427000.0,5,3,0,2807,7482.0,1954,0,38,2,No,,56366,0,17838,MIAMI,508.37,942534
A1161042,Closed,Townhouse,523 NW 10th Dr #901,Miami,33150,Little River,25.837525,-80.229443,2025-02-21,548000,2025-03-26,534000.0,3,2,1,1327,,1996,439,15,2,Yes,,26120,0,6675,MIAMI,402.41,347680
A1161043,Closed,Single Family,6790 SW 17th Dr,Miami,33145,Shenandoah,25.875049,-80.249498,2025-06-30,1002000,2025-09-23,1061000.0,3,3,1,2130,6278.0,1963,0,65,1,No,,26117,0,13262,MIAMI,498.12,716583
A1161044,Closed,Townhouse,6722 NW 54th Ct #2301,Miami,33127,Buena Vista,25.771724,-80.174472,2025-02-23,1175000,2025-04-27,1156000.0,4,3,0,1910,,1998,453,50,2,Yes,,51277,0,14450,MIAMI,605.24,757923
A1161045,Active,Townhouse,4020 NE 14th Pl,Miami,33135,West Flagler,25.739428,-80.174028,2025-05-24,1010000,,,3,3,0,1974,,1976,455,57,2,No,1188000.0,56040,7,12625,MIAMI,511.65,775560
A1161046,Closed,Single Family,4093 SE 54th Ave #2301,Miami,33145,Coral Way,25.853556,-80.172963,2025-06-11,637000,2025-08-12,617000.0,3,1,1,1182,9870.0,1977,0,44,2,No,,35530,0,7712,MIAMI,522.0,396370
A1161047,Active,Condo,8122 NE 36th Pl #3205,Miami,33137,Edgewater,25.853996,-80.233011,2025-04-14,929000,,,3,3,0,932,,1940,874,47,1,Yes,1010000.0,24268,6,11612,MIAMI,996.78,682732
A1161048,Active,Multi-Family,6425 NE 40th St,Miami,33150,Little River,25.832836,-80.198289,2025-02-12,711000,,,5,1,1,2059,5913.0,1992,0,21,2,No,749000.0,90345,7,8888,MIAMI,345.31,433955
A1161049,Active,Townhouse,4442 SW 79th Dr #2301,Miami,33127,Wynwood Norte,25.731973,-80.202771,2025-05-16,1017000,,,3,2,0,2095,,1958,632,56,2,No,1114000.0,74592,5,12712,MIAMI,485.44,705208
A1161050,Closed,Townhouse,1712 NW 36th Ave #1207,Miami,33136,Overtown,25.839483,-80.254904,2025-07-26,568000,2025-09-22,585000.0,2,1,0,1589,,2020,362,46,2,Yes,,26381,0,7312,MIAMI,368.16,383119
A1161051,Closed,Single Family,6367 NE 40th Pl,Miami,33125,Grapeland Heights,25.748011,-80.228576,2025-05-17,1119000,2025-06-29,1179000.0,3,2,0,2580,6000.0,2007,0,33,1,No,,23544,0,14738,MIAMI,456.98,801756
A1161052,Active,Townhouse,4197 SE 14th Ave #2301,Miami,33150,Little River,25.767865,-80.175696,2025-05-25,548000,,,4,3,0,1461,,1949,541,23,1,No,672000.0,82159,8,6850,MIAMI,375.09,388241
A1161053,Closed,Single Family,4789 NE 79th Rd #1803,Miami,33145,Coral Way,25.865699,-80.208224,2025-04-12,815000,2025-04-29,803000.0,3,3,0,1731,4179.0,1990,0,11,3,No,,42928,0,10038,MIAMI,463.89,519172
A1161054,Active,Condo,1576 SW 17th Dr #2301,Miami,33135,West Flagler,25.812732,-80.210146,2025-08-21,517000,,,2,3,0,906,,1979,1144,29,1,Yes,568000.0,33053,4,6462,MIAMI,570.64,364547
A1161055,Active,Condo,1986 SE 3rd Ave,Miami,33136,Overtown,25.839449,-80.269193,2025-08-31,944000,,,2,2,0,1547,,1972,824,31,2,Yes,1161000.0,22671,6,11800,MIAMI,610.21,790029
A1161056,Closed,Multi-Family,6186 NW 10th Ct,Miami,33136,Overtown,25.81353,-80.196637,2025-05-28,759000,2025-08-06,754000.0,4,1,0,2149,8395.0,1955,0,57,2,No,,33259,0,9425,MIAMI,350.86,494541
A1161057,Closed,Townhouse,8171 NW 4th Ave #501,Miami,33135,West Flagler,25.871402,-80.274345,2025-03-02,733000,2025-04-04,757000.0,4,3,0,1426,,1992,531,27,1,Yes,,45508,0,9462,MIAMI,530.86,484392
A1161058,Active,Multi-Family,4683 NW 22nd Ave #3205,Miami,33144,Flagami,25.853391,-80.227652,2025-05-18,1036000,,,4,3,1,2773,8811.0,1959,0,42,4,No,1105000.0,116748,4,12950,MIAMI,373.6,656752
A1161059,Active,Condo,7550 NW 8th Dr #901,Miami,33144,Flagami,25.874913,-80.177648,2025-05-13,427000,,,2,3,0,751,,1947,1152,18,1,Yes,525000.0,13579,5,5338,MIAMI,568.58,353921
A1161060,Closed,Single Family,9864 NW 12th Rd,Miami,33125,Grapeland Heights,25.843899,-80.201703,2025-08-28,612000,2025-10-21,588000.0,2,3,0,1448,8803.0,1967,0,39,1,No,,14226,0,7350,MIAMI,406.08,397374
A1161061,Closed,Townhouse,1962 NW 40th Ct #1803,Miami,33133,Coconut Grove,25.740281,-80.256856,2025-03-17,761000,2025-05-05,772000.0,2,1,0,1312,,1942,538,43,1,No,,33793,0,9650,MIAMI,588.41,506607
A1161062,Active,Single Family,1868 SE 36th St,Miami,33150,Little River,25.855568,-80.256059,2025-02-08,622000,,,3,3,0,1981,7752.0,2022,0,4,1,No,683000.0,90351,7,7775,MIAMI,313.98,387749
A1161063,Active,Condo,1724 NW 54th Dr,Miami,33137,Edgewater,25.792594,-80.229186,2025-07-03,642000,,,2,3,0,779,,1988,731,34,2,Yes,770000.0,20464,6,8025,MIAMI,824.13,518536
A1161064,Active,Condo,7870 NW 3rd Rd,Miami,33127,Buena Vista,25.779888,-80.297104,2025-04-22,719000,,,2,1,0,997,,1994,914,43,1,Yes,837000.0,42752,6,8988,MIAMI,721.16,543148
A1161065,Active,Single Family,4812 SW 22nd St #901,Miami,33144,Flagami,25.858895,-80.211841,2025-05-17,523000,,,3,3,0,1216,9488.0,1955,0,23,3,No,588000.0,17855,7,6538,MIAMI,430.1,393745
A1161066,Active,Condo,9221 NW 79th Dr #1207,Miami,33138,Miami Shores,25.855225,-80.173818,2025-06-27,503000,,,2,2,0,879,,1975,560,15,1,Yes,568000.0,51554,7,6288,MIAMI,572.24,346046
A1161067,Active,Townhouse,6263 SE 36th Ter,Miami,33142,Allapattah,25.734681,-80.240428,2025-03-09,828000,,,2,1,1,2143,,1948,373,48,2,No,974000.0,117013,4,10350,MIAMI,386.37,564787
A1161068,Active,Townhouse,4575 NE 45th St #1803,Miami,33142,Liberty City,25.797706,-80.253693,2025-04-11,725000,,,2,3,0,1810,,1950,243,29,1,No,833000.0,70310,7,9062,MIAMI,400.55,512790
A1161069,Active,Townhouse,4842 SW 4th St #3205,Miami,33142,Liberty City,25.842776,-80.205376,2025-03-25,827000,,,3,3,0,1698,,1940,469,20,2,No,988000.0,33556,5,10338,MIAMI,487.04,658044
A1161070,Closed,Condo,5229 SE 62nd Ct #2301,Miami,33135,Little Havana,25.722999,-80.181826,2025-05-13,471000,2025-06-15,496000.0,2,3,0,1039,,1949,995,15,1,Yes,,34929,0,6200,MIAMI,477.38,312271
A1161071,Active,Multi-Family,8684 NW 27th Rd #1207,Miami,33131,Brickell,25.758931,-80.231669,2025-02-23,1196000,,,5,3,1,2065,9649.0,1986,0,28,2,No,1344000.0,115110,4,14950,MIAMI,579.18,825690
A1161072,Closed,Condo,2942 NE 3rd Ave #3205,Miami,33125,Grapeland Heights,25.736449,-80.281605,2025-05-01,837000,2025-06-10,884000.0,2,1,0,1447,,1984,622,28,0,Yes,,44264,0,11050,MIAMI,610.92,574536
A1161073,Active,Multi-Family,9789 NW 22nd Pl,Miami,33142,Liberty City,25.821022,-80.200551,2025-02-18,860000,,,5,2,0,2716,5236.0,1996,0,31,4,No,969000.0,67146,7,10750,MIAMI,316.64,611154
A1161074,Active,Multi-Family,772 SE 62nd Dr,Miami,33132,Downtown,25.812853,-80.176865,2025-06-10,707000,,,5,1,0,1516,9038.0,2016,0,25,3,No,821000.0,28008,7,8838,MIAMI,466.36,546692
A1161075,Active,Multi-Family,8686 NE 22nd Ter #1207,Miami,33168,Pinewood,25.833219,-80.171352,2025-03-17,655000,,,4,2,0,1708,8133.0,2022,0,3,2,No,779000.0,97028,5,8188,MIAMI,383.49,448272
A1161076,Active,Townhouse,9647 NE 22nd Ter #2301,Miami,33135,West Flagler,25.859725,-80.269996,2025-04-06,500000,,,3,3,1,1253,,1976,604,47,2,No,624000.0,51060,8,6250,MIAMI,399.04,385740
A1161077,Active,Single Family,3609 SW 40th Ave,Miami,33142,Allapattah,25.778016,-80.292961,2025-06-11,848000,,,4,3,0,2094,9292.0,1994,0,24,2,No,978000.0,35607,4,10600,MIAMI,404.97,648993
A1161078,Closed,Condo,2812 SE 2nd Ct #1803,Miami,33137,Edgewater,25.74468,-80.292873,2025-08-16,752000,2025-09-28,774000.0,2,3,0,952,,1983,553,26,2,Yes,,24823,0,9675,MIAMI,813.03,516977
A1161079,Closed,Condo,7318 SE 14th Rd #2301,Miami,33150,Little River,25.828529,-80.234437,2025-09-02,705000,2025-10-22,702000.0,1,1,0,1275,,2000,741,34,1,Yes,,17605,0,8775,MIAMI,550.59,473795
A1161080,Active,Multi-Family,2142 SW 3rd Rd,Miami,33133,Coconut Grove,25.833824,-80.242614,2025-05-07,1013000,,,3,2,0,1808,9252.0,2001,0,36,4,No,1249000.0,96463,4,12662,MIAMI,560.29,777837
A1161081,Active,Condo,6242 NE 1st Ter,Miami,33127,Buena Vista,25.757724,-80.170821,2025-05-13,504000,,,2,1,1,743,,1946,677,33,1,Yes,580000.0,26426,6,6300,MIAMI,678.33,379574
A1161082,Closed,Townhouse,2549 SE 4th Rd #1207,Miami,33135,Little Havana,25.723041,-80.287652,2025-07-08,655000,2025-07-25,675000.0,3,1,1,1340,,1997,219,10,2,No,,38691,0,8438,MIAMI,503.73,433809
A1161083,Active,Single Family,5880 NE 62nd Ct,Miami,33132,Downtown,25.766604,-80.319765,2025-06-28,947000,,,2,2,0,1438,9176.0,2005,0,16,2,Yes,1058000.0,78371,5,11838,MIAMI,658.55,662229
A1161084,Closed,Single Family,4050 NW 62nd Dr #1803,Miami,33168,Pinewood,25.777135,-80.309866,2025-05-07,571000,2025-06-23,581000.0,3,2,0,1688,9207.0,1989,0,42,1,No,,10260,0,7262,MIAMI,344.19,396440
A1161085,Active,Townhouse,7598 NW 14th Ave,Miami,33136,Overtown,25.730096,-80.203571,2025-03-19,634000,,,3,3,1,1546,,2020,616,52,1,Yes,735000.0,51451,5,7925,MIAMI,410.09,463049
A1161086,Closed,Single Family,5538 SW 4th Rd #1803,Miami,33125,Grapeland Heights,25.777116,-80.202874,2025-08-12,708000,2025-09-29,682000.0,4,3,1,1585,6075.0,1944,0,34,3,Yes,,9701,0,8525,MIAMI,430.28,467699
A1161087,Active,Multi-Family,9970 NE 54th Ter #1803,Miami,33150,Little River,25.836333,-80.308161,2025-04-10,565000,,,5,2,1,2191,7009.0,2006,0,52,3,No,634000.0,112026,4,7062,MIAMI,257.87,331774
A1161088,Active,Townhouse,1039 NW 27th Ter #501,Miami,33142,Allapattah,25.818376,-80.254759,2025-08-06,672000,,,3,2,1,1513,,1945,428,56,2,No,735000.0,73380,6,8400,MIAMI,444.15,441120
A1161089,Closed,Condo,2613 SE 22nd Ter #3205,Miami,33131,Brickell,25.871915,-80.315142,2025-05-05,541000,2025-07-17,553000.0,1,1,0,796,,2022,1072,56,1,Yes,,6018,0,6912,MIAMI,694.72,381082
A1161090,Closed,Condo,2029 SW 12th Dr #3205,Miami,33168,Pinewood,25.802839,-80.182969,2025-08-08,526000,2025-09-30,533000.0,2,1,0,1025,,1943,857,33,1,Yes,,24726,0,6662,MIAMI,520.0,348374
A1161091,Active,Townhouse,9111 SW 14th Rd,Miami,33138,Miami Shores,25.826854,-80.213569,2025-08-27,697000,,,3,3,1,1404,,1951,262,44,1,No,868000.0,65012,6,8712,MIAMI,496.44,542588
A1161092,Closed,Condo,2226 NW 3rd Ter #2301,Miami,33144,Flagami,25.794785,-80.172548,2025-02-07,440000,2025-04-20,457000.0,3,1,0,1170,,2003,679,56,0,Yes,,15356,0,5712,MIAMI,390.6,304544
A1161093,Closed,Multi-Family,9132 NE 5th Ct #501,Miami,33168,Pinewood,25.828817,-80.268323,2025-02-19,783000,2025-05-16,786000.0,5,1,0,2241,6597.0,2022,0,67,3,No,,16480,0,9825,MIAMI,350.74,533720
A1161094,Closed,Single Family,4596 NE 14th Pl #501,Miami,33127,Wynwood Norte,25.751408,-80.176547,2025-04-14,1022000,2025-05-17,1023000.0,2,2,0,2011,6834.0,2006,0,20,1,No,,20510,0,12788,MIAMI,508.7,695590
A1161095,Active,Condo,9549 SW 8th Rd #901,Miami,33142,Liberty City,25.732996,-80.177718,2025-02-11,675000,,,2,3,0,1244,,2012,607,53,1,Yes,743000.0,22170,4,8438,MIAMI,542.6,497930
A1161096,Active,Single Family,6909 SE 36th Ave #1803,Miami,33138,Miami Shores,25.830178,-80.296288,2025-04-18,1399000,,,3,2,1,2234,6006.0,1991,0,30,3,No,1547000.0,96084,4,17488,MIAMI,626.23,986816
A1161097,Closed,Townhouse,1686 NW 14th Ct #901,Miami,33125,Grapeland Heights,25.762795,-80.282812,2025-04-03,931000,2025-06-19,983000.0,2,2,0,1951,,1980,640,69,2,No,,52944,0,12288,MIAMI,503.84,635156
A1161098,Active,Condo,6542 SE 10th Ave #901,Miami,33125,Grapeland Heights,25.799579,-80.306493,2025-05-31,883000,,,1,1,1,1241,,2005,1188,32,1,Yes,971000.0,38446,6,11038,MIAMI,711.52,641254
A1161099,Active,Single Family,6663 NW 62nd Pl,Miami,33142,Allapattah,25.842217,-80.265109,2025-04-09,898000,,,3,1,0,1963,7530.0,1957,0,47,3,Yes,1079000.0,54569,6,11225,MIAMI,457.46,700731
A1161100,Active,Townhouse,6090 NE 8th Pl #501,Miami,33137,Edgewater,25.847184,-80.269137,2025-02-25,1063000,,,3,3,0,1595,,1956,458,26,2,Yes,1137000.0,53765,6,13288,MIAMI,666.46,742135
A1161101,Active,Single Family,6538 SW 62nd Ter #501,Miami,33132,Downtown,25.869019,-80.27222,2025-06-12,646000,,,4,3,1,1029,5220.0,2017,0,9,1,No,739000.0,35584,6,8075,MIAMI,627.79,481716
A1161102,Closed,Multi-Family,9577 NE 2nd Pl #3205,Miami,33142,Liberty City,25.815506,-80.28017,2025-05-18,620000,2025-07-11,620000.0,5,2,0,2013,9519.0,1954,0,49,3,No,,47256,0,7750,MIAMI,308.0,386744
A1161103,Active,Multi-Family,6823 SE 2nd Dr,Miami,33135,Little Havana,25.744229,-80.216425,2025-05-24,818000,,,3,3,0,2794,5562.0,1942,0,21,2,No,866000.0,116663,7,10225,MIAMI,292.77,489537
A1161104,Active,Townhouse,4138 SW 54th Ter,Miami,33138,Miami Shores,25.817612,-80.29116,2025-05-02,1163000,,,3,3,0,1738,,2009,392,44,2,No,1420000.0,61103,6,14538,MIAMI,669.16,932897
A1161105,Closed,Townhouse,2499 SW 2nd Ter,Miami,33142,Allapattah,25.85094,-80.176809,2025-03-04,663000,2025-05-18,680000.0,3,3,0,1921,,1976,306,58,2,No,,18995,0,8500,MIAMI,353.98,457005
A1161106,Active,Multi-Family,931 NE 10th St,Miami,33145,Shenandoah,25.838543,-80.284108,2025-03-08,1207000,,,4,3,0,2930,8604.0,1974,0,7,3,No,1409000.0,33184,8,15088,MIAMI,411.95,953116
A1161107,Active,Multi-Family,4776 NW 3rd Dr #901,Miami,33127,Wynwood Norte,25.840946,-80.276913,2025-06-03,1068000,,,3,3,0,2795,7333.0,2000,0,42,2,No,1244000.0,159347,5,13350,MIAMI,382.11,711453
A1161108,Active,Single Family,5589 SW 36th Dr #501,Miami,33133,Coconut Grove,25.810874,-80.303905,2025-02-10,1307000,,,4,2,1,1805,5526.0,1977,0,1,1,No,1515000.0,59407,6,16338,MIAMI,724.1,1001093
A1161109,Active,Condo,4933 NE 7th Pl #2301,Miami,33168,Pinewood,25.722253,-80.269433,2025-07-16,469000,,,2,2,0,1129,,1998,729,17,1,Yes,529000.0,64436,5,5862,MIAMI,415.41,305864
A1161110,Closed,Townhouse,5500 SW 62nd Dr #901,Miami,33137,Edgewater,25.757683,-80.206937,2025-02-02,1049000,2025-04-03,1015000.0,4,2,0,1610,,1971,542,43,1,No,,23457,0,12688,MIAMI,630.43,687043
A1161111,Active,Townhouse,2288 SE 5th Ct #901,Miami,33145,Coral Way,25.778807,-80.286873,2025-07-14,630000,,,3,2,0,1263,,1955,541,59,1,No,664000.0,65984,6,7875,MIAMI,498.81,398816
A1161112,Active,Multi-Family,1111 NE 62nd Pl,Miami,33136,Overtown,25.732496,-80.235375,2025-06-16,855000,,,4,3,0,2760,8304.0,1997,0,46,2,No,1017000.0,43907,6,10688,MIAMI,309.78,667993
A1161113,Active,Multi-Family,9339 NW 54th Ct #1207,Miami,33127,Wynwood Norte,25.741111,-80.257686,2025-08-27,1323000,,,4,2,0,2793,8180.0,1997,0,4,2,No,1621000.0,115762,7,16538,MIAMI,473.68,1018938
A1161114,Closed,Multi-Family,7834 NW 14th Ct,Miami,33145,Shenandoah,25.869533,-80.309647,2025-07-30,631000,2025-08-23,624000.0,4,1,0,1406,7470.0,1984,0,18,4,No,,14514,0,7800,MIAMI,443.81,422286
A1161115,Closed,Multi-Family,8764 NE 10th Rd,Miami,33144,Flagami,25.748556,-80.239411,2025-03-07,860000,2025-05-08,890000.0,5,2,1,2183,4657.0,2009,0,54,3,No,,63755,0,11125,MIAMI,407.7,559245
